edu.ncsu.lib.geodata/drg/historic/ducktown-1909_lnr.jp2:http {'arcFileParition': 3116, 'compressedSize': 2095615, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908600423, 'arcFileOffset': 59222002}
edu.ncsu.lib.geodata/drg/historic/ducktown-1943.jp2:http {'arcFileParition': 3116, 'compressedSize': 1876849, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908600423, 'arcFileOffset': 50491637}
edu.ncsu.lib.geodata/drg/historic/ducktown-1943_lnr.jp2:http {'arcFileParition': 3117, 'compressedSize': 2094712, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346910515440, 'arcFileOffset': 7732143}
edu.ncsu.lib.geodata/drg/historic/durham-1943.jp2:http {'arcFileParition': 3118, 'compressedSize': 1877288, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908958561, 'arcFileOffset': 63894950}
edu.ncsu.lib.geodata/drg/historic/durham-1943_lnr.jp2:http {'arcFileParition': 3119, 'compressedSize': 2094446, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909294126, 'arcFileOffset': 17278827}
edu.ncsu.lib.geodata/drg/historic/durhamnorth-1951.jp2:http {'arcFileParition': 3120, 'compressedSize': 1878728, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909280596, 'arcFileOffset': 95856337}
edu.ncsu.lib.geodata/drg/historic/durhamnorth-1951_lnr.jp2:http {'arcFileParition': 3120, 'compressedSize': 2095429, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909280596, 'arcFileOffset': 91035916}
edu.ncsu.lib.geodata/drg/historic/durhamsouth-1951.jp2:http {'arcFileParition': 3121, 'compressedSize': 1879325, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908976714, 'arcFileOffset': 83924432}
edu.ncsu.lib.geodata/drg/historic/durhamsouth-1951_lnr.jp2:http {'arcFileParition': 3160, 'compressedSize': 2095285, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908245537, 'arcFileOffset': 45142457}
edu.ncsu.lib.geodata/drg/historic/edenton-1904.jp2:http {'arcFileParition': 3160, 'compressedSize': 1879232, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908245537, 'arcFileOffset': 31147956}
edu.ncsu.lib.geodata/drg/historic/edenton-1904_lnr.jp2:http {'arcFileParition': 3161, 'compressedSize': 2095407, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908245560, 'arcFileOffset': 25771959}
edu.ncsu.lib.geodata/drg/historic/edenton-1942_army.jp2:http {'arcFileParition': 3161, 'compressedSize': 1877370, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909133974, 'arcFileOffset': 86586530}
edu.ncsu.lib.geodata/drg/historic/edenton-1942_army_lnr.jp2:http {'arcFileParition': 3162, 'compressedSize': 2094150, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909124331, 'arcFileOffset': 66218362}
edu.ncsu.lib.geodata/drg/historic/elizabethcity-1948_army.jp2:http {'arcFileParition': 3163, 'compressedSize': 1880123, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908968114, 'arcFileOffset': 56845744}
edu.ncsu.lib.geodata/drg/historic/elizabethcity-1948_army_lnr.jp2:http {'arcFileParition': 3163, 'compressedSize': 2094785, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908968114, 'arcFileOffset': 51262270}
edu.ncsu.lib.geodata/drg/historic/elizabethtown-1955.jp2:http {'arcFileParition': 3164, 'compressedSize': 1879110, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909172412, 'arcFileOffset': 19465283}
edu.ncsu.lib.geodata/drg/historic/elizabethtown-1955_lnr.jp2:http {'arcFileParition': 3165, 'compressedSize': 2095418, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909243939, 'arcFileOffset': 3932898}
edu.ncsu.lib.geodata/drg/historic/ellijay-1911.jp2:http {'arcFileParition': 3165, 'compressedSize': 1876951, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908975260, 'arcFileOffset': 90848161}
edu.ncsu.lib.geodata/drg/historic/ellijay-1911_lnr.jp2:http {'arcFileParition': 3166, 'compressedSize': 2094600, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909403858, 'arcFileOffset': 233750}
edu.ncsu.lib.geodata/drg/historic/emporia-1919.jp2:http {'arcFileParition': 3201, 'compressedSize': 1877812, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908247343, 'arcFileOffset': 61365327}
